"","SiteUnit","NoPlots","TotalSpp","NonrareSpp","ConstSpp","PotDiff.sum","Issues"
"20457","ALLIANCE Poputre-Cornsto",7,83,43,17,55.5,"Few Plots"
"20540","ALLIANCE Poputre-Equiset ($BWBS)",19,133,53,6,17.6842105263158,"OK"
"20673","ALLIANCE Poputre-Festalt-Epilang (SWB-BWBS)",6,47,23,12,48.3333333333333,"Few Plots"
"20720","ALLIANCE Poputre-Ledugro($BWBS)",28,165,47,15,39.2142857142857,"OK"
"20885","ALLIANCE Poputre-Sympalb",50,178,41,11,48.68,"OK"
"21063","ALLIANCE Poputre-Sympalb-Poa pra",11,93,22,6,17.6363636363636,"OK"
"21156","ALLIANCE Poputre-Sympalb-Rosanut",4,78,78,4,14.5,"Low Plots"
"21234","ALLIANCE Poputre-Vibuedu ($BWBS)",155,283,51,15,33.1161290322581,"OK"
"21517","ALLIANCE Pseumen-Abielas-Paximyr (colder/moister)",45,229,37,11,42.5444444444444,"OK"
"21746","ALLIANCE Pseumen-Abielas-Pinucon-Junicom (ESSF xeric)",40,254,38,10,18.6,"OK"
"22000","ALLIANCE Pseumen-Calarub (typic)",610,753,36,5,23.0032786885246,"Few Constants"
"22753","ALLIANCE Pseumen-Gaulsha",48,192,26,3,11.375,"Few Constants"
"22945","ALLIANCE Pseumen-Junicom-Arctuva (xeric)",130,402,35,6,17.5846153846154,"OK"
"23347","ALLIANCE Pseumen-Mahoner",157,190,16,4,17.8471337579618,"Few Constants"
"23537","ALLIANCE Pseumen-Paximyr-Rhyttri (IDFww)",29,142,43,14,35.4137931034483,"OK"
"23679","ALLIANCE Pseumen-Pinucon-Calarub IDFdk zonal MS",775,681,34,7,32.2658064516129,"OK"
"24360","ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric)",36,254,63,8,27.8611111111111,"OK"
"24614","ALLIANCE Pseumen-Pseuspi (low Pinupon)",184,486,34,4,21.0434782608696,"Few Constants"
"25100","ALLIANCE Pseumen-Rhyttri",91,255,18,2,10.5714285714286,"Few Constants"
"25355","ALLIANCE Pseumen-Sympalb (non Calarub, IDFxm)",201,482,36,7,22.5124378109453,"OK"
"25837","ALLIANCE Pseumen-Thujpli-Paximyr (with Cw)",245,391,42,10,37.0367346938775,"OK"
"26228","ALLIANCE Pseumen-Tsughet-Gaulsha",510,432,16,7,39.1960784313725,"OK"
"26660","ALLIANCE PseumenTsughet-Hylospl",108,199,27,7,34.1944444444444,"OK"
"26859","ALLIANCE Salibeb-Calacan",20,161,26,1,8.5,"Few Constants"
"27020","ALLIANCE Salidru-Calamag",23,145,22,4,22.6086956521739,"Few Constants"
"27165","ALLIANCE Saliexi",11,50,8,3,12.5454545454545,"Few Constants"
"27215","ALLIANCE Saliluc2-Equiset",2,20,20,1,3,"Low Plots"
"27235","ALLIANCE Salisit-Equiset",27,174,19,3,10.5185185185185,"Few Constants"
"27409","ALLIANCE Schepal-Sphagnu",21,92,26,4,11.6190476190476,"Few Constants"
"27501","ALLIANCE SsYc-Gymndy-Coptasp (wet rich wh2)",28,115,42,18,66.0357142857143,"OK"
"27616","ALLIANCE SxFd-Oplohor",29,179,58,18,50.7241379310345,"OK"
"27795","ALLIANCE Sxw(Lw)-Calarub-Arnica (MSdw)",10,98,36,18,37.45,"OK"
"27893","ALLIANCE Thujpli-Achltri",154,205,15,3,21.7142857142857,"Few Constants"
"28098","ALLIANCE Thujpli-Lysiame",163,389,31,4,24.5398773006135,"Few Constants"
"28487","ALLIANCE Thujpli-Oplohor-Mnium (rich seepage)",411,477,47,13,53.8296836982968,"OK"
"28964","ALLIANCE Thujpli-Piceene-Equiset (wet Cool moist/wet)",104,448,48,10,39.9519230769231,"OK"
"29412","ALLIANCE Thujpli-Piceene-Paximyr (mk dk zonals)",144,295,47,14,45.4930555555556,"OK"
"29707","ALLIANCE Thujpli-Piceene-Rubupar",19,176,69,17,48.8684210526316,"OK"
"29883","ALLIANCE Thujpli-Pseumen-Paximyr",41,196,36,4,20.0975609756098,"Few Constants"
"30079","ALLIANCE Thujpli-Pseumen-Polymun(southern)",410,402,29,6,36.1780487804878,"OK"
"30481","ALLIANCE Thujpli-Pseumen-Sympalb (ICHxw zonal)",21,137,53,18,41.4285714285714,"OK"
"30618","ALLIANCE Thujpli-Pseumen-Tiartri (Submaritime)",29,151,48,8,28.6206896551724,"OK"
"30769","ALLIANCE Thujpli-Tsughet-Gymndry (moist/wet; vk, wk,wc",409,454,44,13,43.5110024449878,"OK"
"31223","ALLIANCE Tsughet-Abielas-Hylospl",213,223,30,7,29.037558685446,"OK"
"31446","ALLIANCE Tsughet-Picesit-Tiartri (hypermaritime)",100,179,36,17,46.92,"OK"
"31625","ALLIANCE Tsughet-Sphagnu",12,108,31,5,24.0833333333333,"Few Constants"
"31733","ALLIANCE Tsughet-Thujpli-Hylospl(dm, mw, mm zonals)",257,337,35,11,34.4163424124514,"OK"
"32070","ALLIANCE Tsughet-Thujpli-Paximyr (ICHdw zonals)",120,266,41,11,46.9208333333333,"OK"
"32336","ALLIANCE Tsughet-Vaccmem-Pleusch (dry poor)",27,204,40,7,20.3148148148148,"OK"
"32540","ALLIANCE Tsughet -Oplohor (maritime)",455,385,29,11,38.1967032967033,"OK"
"32925","ALLIANCE Tsugmer-Cassmer",59,171,21,3,15.9830508474576,"Few Constants"
"33096","ALLIANCE Tsugmer-Cassste(woodland)",12,86,35,7,26.75,"OK"
"33182","ALLIANCE Tsugmer-Coptasp (wh)",61,174,33,12,36.983606557377,"OK"
"33356","ALLIANCE Tsugmer-Pinualb-Vaccmem",18,96,31,5,35.6388888888889,"Few Constants"
"33452","ALLIANCE Tsugmer-Strelan",94,236,27,10,25.9255319148936,"OK"
"33688","ALLIANCE Tsugmer-Vaccmem",253,295,23,5,30.001976284585,"Few Constants"
"33983","ASSOC Quergar-Bromste",2,34,34,14,34,"Low Plots"
"34017","ASSOC Quergar-Seduspa",6,38,21,13,51.8333333333333,"Few Plots"
"34055","Ff01 xFl07 ASSOC Betuocc-Cornsto-Rose",11,117,21,3,12.5454545454545,"Few Constants"
"34172","Fl01 ASSOC Alnuinc-Equiarv",10,99,22,3,21.4,"Few Constants"
"34271","Fl02 ASSOC Alnuinc-Cornsto-Athyfil",33,154,40,9,30.0606060606061,"OK"
"34425","Ws01 ASSOC Alnuinc-Lysiame-Athyfil",16,122,34,3,29.375,"Few Constants"
