"SubAssociation","SubAssociation1","Score","Association1","Association","movetosubass"
"ASSOC Abielas-Menzfer-Xeroten","SUBASS BlSe-Rhodalb-Xeroten (Arnica)",9.05514705882353,"ASSOC Abielas-Rhodalb-Vaccmem-Xeroten","ASSOC Abielas-Menzfer-Xeroten",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","SUBASS Bl-Rhodalb-Gymndry(Tsughet)",7.66324626865672,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","ASSOC BlSe-Menzfer-Tiartri",8.54784899034241,"ASSOC BlSe-Menzfer-Tiartri","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","SUBASS BlHw-Rhodalb-Tiartri(Menzfer)",6.75451688923802,"ASSOC BlHw - Rhodalb - Tiartri (wh zonals)","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",5.34717715768981,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","SUBASS Bl-Rhodalb-Gymndry(Menzfer)",9.92073170731707,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","ASSOC Bl-Rhodalb-Tiartri -Arnica",4.35945273631841,"ASSOC Bl-Rhodalb-Tiartri -Arnica","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","SUBASS Bl-Athyfil-Gymndry(Rhodalb)",8.86802827965436,"ASSOC Abielas-Piceeng-Athyfil-Gymndry","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",1
"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","SUBASS BlSe-Menzfer (Pleusch)",3.31092767295597,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",1
"ASSOC Abielas-Pinucon-Menzfer-Vaccsco","SUBASS BlSe-Menzfer (typic)",3.70754716981132,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",1
"ASSOC Abielas-Rhodalb-Menzfer","SUBASS BlSe-Menzfer (typic)",4.46153846153846,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC Abielas-Rhodalb-Menzfer",1
"ASSOC Abielas-Rhodalb-Vaccsco","SUBASS BlPl-Vaccmem",5.50617283950617,"ASSOC Abielas-Pinucon-Vaccsco - Cladonia","ASSOC Abielas-Rhodalb-Vaccsco",1
"ASSOC Abielas-Rhodalb-Vaccsco","ASSOC Abielas-Rhodalb-Menzfer",7.54036087369421,"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Rhodalb-Vaccsco",1
"ASSOC Abielas-Rhodalb-Vaccsco","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",7.2716049382716,"ASSOC Abielas-Pinucon-Paximyr-Vaccsco","ASSOC Abielas-Rhodalb-Vaccsco",1
"ASSOC Abielas-Rhodalb-Vaccsco","SUBASS PlBl-Vaccmem-Vaccsco(typic)",9.11111111111111,"ASSOC Abielas-Pinucon-Vaccsco - Cladonia","ASSOC Abielas-Rhodalb-Vaccsco",1
"ASSOC Abielas-Vaccmem-Empenig","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",2.41304347826087,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Abielas-Vaccmem-Empenig",1
"ASSOC Abielas-Vaccmem-Empenig","SUBASS Bl-Vaccmem-Pleusch(typic)",9.90966010733453,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Abielas-Vaccmem-Empenig",1
"ASSOC Abielas-Vaccmem-Empenig","SUBASS Bl-Vaccmem-Pleusch(Vacccae)",4.13461538461539,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Abielas-Vaccmem-Empenig",1
"ASSOC Abielas-Vaccmem-Paximyr","ASSOC BlPa - Vaccmem - Paximyr",9.04545454545454,"ASSOC BlPa - Vaccmem - Paximyr","ASSOC Abielas-Vaccmem-Paximyr",1
"ASSOC Abielas-Vaccmem-Paximyr","SUBASS BlPl-Vaccmem",7.48809523809524,"ASSOC Abielas-Pinucon-Vaccsco - Cladonia","ASSOC Abielas-Vaccmem-Paximyr",1
"ASSOC Abielas-Vaccmem-Paximyr","ASSOC Abielas-Rhodalb-Menzfer",8.94505494505495,"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Vaccmem-Paximyr",1
"ASSOC Abielas-Vaccmem-Paximyr","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",4.45833333333333,"ASSOC Abielas-Pinucon-Paximyr-Vaccsco","ASSOC Abielas-Vaccmem-Paximyr",1
"ASSOC Abielas Rhodalb-Vaccvit","SUBASS Bl-Vaccmem-Pleusch(typic)",3.64164904862579,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Abielas Rhodalb-Vaccvit",1
"ASSOC Abielas Rhodalb-Vaccvit","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",9.07792207792208,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Abielas Rhodalb-Vaccvit",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","SUBASS Bl - Rhodalb -Tiartri (Luzula wm3)",8.56702127659574,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","SUBASS BlSe-Rhodalb-Xeroten (Arnica)",6.78125,"ASSOC Abielas-Rhodalb-Vaccmem-Xeroten","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",5.69148936170213,"ASSOC Abielas-Rhodalb-Vaccmem-Dicranu","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",9.34782608695652,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","ASSOC Abielas-Vaccmem-Paximyr",7.14893617021277,"ASSOC Abielas-Vaccmem-Paximyr","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",4.86486486486486,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",9.375,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","ASSOC BlHw-Vaccmem-Rhytrob",6.56676449009538,"ASSOC BlHw-Vaccmem-Rhytrob","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",1
"ASSOC Bl-Rhodalb-Tiartri -Arnica","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",6.6304347826087,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Bl-Rhodalb-Tiartri -Arnica",1
"ASSOC Bl-Rhodalb-Woodrush","%ASSOC BlLa - Heron s-bill moss",9.41666666666667,"%ASSOC BlLa - Heron s-bill moss","ASSOC Bl-Rhodalb-Woodrush",1
"ASSOC Bl-Rhodalb-Woodrush","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",5.40689655172414,"ASSOC Abielas-Rhodalb-Vaccmem-Dicranu","ASSOC Bl-Rhodalb-Woodrush",1
"ASSOC Bl-Rhodalb-Woodrush","ASSOC BlPa - Vaccmem - Cladoni",9.75431034482759,"ASSOC BlPa - Vaccmem - Cladoni","ASSOC Bl-Rhodalb-Woodrush",1
"ASSOC Bl-Rhodalb-Woodrush","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",8.68793103448276,"ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula","ASSOC Bl-Rhodalb-Woodrush",1
"ASSOC Bl-Senetri-Ligucan (S Columbia)","ASSOC Bl-Rhodalb-Tiartri -Arnica",4.6969696969697,"ASSOC Bl-Rhodalb-Tiartri -Arnica","ASSOC Bl-Senetri-Ligucan (S Columbia)",1
"ASSOC Bl-Valesit-Barbilo","ASSOC Bl-Rhodalb-Woodrush",9.13157894736842,"ASSOC Bl-Rhodalb-Woodrush","ASSOC Bl-Valesit-Barbilo",1
"ASSOC BlFd-Vaccmem-Paximyr","ASSOC Abielas-Vaccmem-Paximyr",3.64285714285714,"ASSOC Abielas-Vaccmem-Paximyr","ASSOC BlFd-Vaccmem-Paximyr",1
"ASSOC BlFd-Vaccmem-Paximyr","ASSOC BlCwLw-Clinuni",2.34469696969697,"ASSOC BlCwLw-Clinuni","ASSOC BlFd-Vaccmem-Paximyr",1
"ASSOC BlHw-Vaccmem-Rhytrob","ASSOC BlFd-Vaccmem-Paximyr",8.79885057471264,"ASSOC BlFd-Vaccmem-Paximyr","ASSOC BlHw-Vaccmem-Rhytrob",1
"ASSOC BlPa - Vaccmem - Cladoni","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",5.925,"ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlPa - Vaccmem - Cladoni","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",8.42307692307692,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlPa - Vaccmem - Cladoni","SUBASS Bl-Vaccmem-Xeroten",9.39583333333333,"%ASSOC Bl-Vaccmem-Xeroten","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlPa - Vaccmem - Cladoni","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",7.41666666666667,"ASSOC Abielas-Rhodalb-Vaccmem-Dicranu","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlPa - Vaccmem - Cladoni","ASSOC Abielas-Vaccmem-Paximyr",7.54166666666667,"ASSOC Abielas-Vaccmem-Paximyr","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlPa - Vaccmem - Cladoni","%ASSOC BlLa - Heron s-bill moss",4.875,"%ASSOC BlLa - Heron s-bill moss","ASSOC BlPa - Vaccmem - Cladoni",1
"ASSOC BlSe-Menzfer-Tiartri","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",5.11229946524064,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Menzfer-Tiartri","SUBASS BlSe-Menzfer (Tiartri)",4.63602941176471,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Menzfer-Tiartri","SUBASS BlSe-Menzfer (typic)",1.76470588235294,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Menzfer-Tiartri","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",9.29779411764706,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Menzfer-Tiartri","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",8.78260869565217,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Menzfer-Tiartri","ASSOC Abielas-Rhodalb-Menzfer",9.83257918552036,"ASSOC Abielas-Rhodalb-Menzfer","ASSOC BlSe-Menzfer-Tiartri",1
"ASSOC BlSe-Rhodalb-Tiartri (mh zonals)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",4.21621621621622,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",1
"ASSOC BlSe-Rhodalb-Tiartri (mh zonals)","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",4.98042553191489,"ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",1
"ASSOC BlSe-Rhodalb-Tiartri (mh zonals)","SUBASS BlHw-Rhodalb-Tiartri(Rhytrob)",2.61230769230769,"ASSOC BlHw - Rhodalb - Tiartri (wh zonals)","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",1
"ASSOC BlSe-Rhodalb-Tiartri (mh zonals)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",8.52375,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",1
"ASSOC Piceene-(Pseumen)-Cornsto-Corncan","ASSOC Piceene-PseumenCornsto-Aralnud",7.11111111111111,"ASSOC Piceene-PseumenCornsto-Aralnud","ASSOC Piceene-(Pseumen)-Cornsto-Corncan",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC Piceene-Pseumen-Ribelac-Pleusch",2.1,"ASSOC Piceene-Pseumen-Ribelac-Pleusch","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC SxwBl-Equiset(MS/ICHmk)",6.77370689655172,"ASSOC SxwBl-Equiset(MS/ICHmk)","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC Piceene-(Pseumen)-Cornsto-Corncan",8.25095785440613,"ASSOC Piceene-(Pseumen)-Cornsto-Corncan","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC Piceene-Cornsto-Equiset (IDF)",7.90740740740741,"ASSOC Piceene-Cornsto-Equiset (IDF)","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC Piceene-PseumenCornsto-Aralnud",7.71264367816092,"ASSOC Piceene-PseumenCornsto-Aralnud","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","SUBASS SxwFd-Cornsto-Sympalb(Acergla)",9.99391480730223,"ASSOC Piceene-Pseumen-Cornsto-Acergla","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",1
"ASSOC Piceene-Abielas-Menzfer-Corncan","ASSOC SxwBl-Equiset(MS/ICHmk)",6.875,"ASSOC SxwBl-Equiset(MS/ICHmk)","ASSOC Piceene-Abielas-Menzfer-Corncan",1
"ASSOC Piceene-Abielas-Menzfer-Corncan","SUBASS SxwBl - Ribelac (typic)",7.92822966507177,"ASSOC Piceene-Abielas-Ribelac","ASSOC Piceene-Abielas-Menzfer-Corncan",1
"ASSOC Piceene-Abielas-Menzfer-Corncan","SUBASS BlSe-Menzfer (Tiartri)",7.23355263157895,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC Piceene-Abielas-Menzfer-Corncan",1
"ASSOC Piceene-Abielas-Menzfer-Corncan","ASSOC SxwFd-Corncan-Pleusch (MSdk)",2.60526315789474,"ASSOC SxwFd-Corncan-Pleusch (MSdk)","ASSOC Piceene-Abielas-Menzfer-Corncan",1
"ASSOC Piceene-Abielas-Menzfer-Corncan","SUBASS BlSe-Menzfer (Pleusch)",9.73684210526316,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC Piceene-Abielas-Menzfer-Corncan",1
"ASSOC Piceene-Cornsto-Equiset (IDF)","ASSOC SxwBl-Equiset(MS/ICHmk)",5.54351851851852,"ASSOC SxwBl-Equiset(MS/ICHmk)","ASSOC Piceene-Cornsto-Equiset (IDF)",1
"ASSOC Piceene-Cornsto-Equiset (IDF)","SUBASS Sxw-Equiset-Aulapal(Hylospl)",9.62872628726287,"ASSOC Piceene-Equiset-Aulapal","ASSOC Piceene-Cornsto-Equiset (IDF)",1
"ASSOC Piceene-Empenig-Pleusch-Aulapal","ASSOC Piceene-Empenig-Ptilcri",1.83333333333333,"ASSOC Piceene-Empenig-Ptilcri","ASSOC Piceene-Empenig-Pleusch-Aulapal",1
"ASSOC Piceene-Empenig-Pleusch-Aulapal","SUBASS Pl-Vaccsco-Cladoni(Empenig)",3.92397660818713,"ASSOC Pinucon-Vaccsco-Cladoni","ASSOC Piceene-Empenig-Pleusch-Aulapal",1
"ASSOC Piceene-Empenig-Pleusch-Aulapal","SUBASS Pl-Vaccsco-Pleusch(Empenig)",2.08333333333333,"ASSOC Pinucon-Vaccsco-Pleusch (MSxv zonal)","ASSOC Piceene-Empenig-Pleusch-Aulapal",1
"ASSOC Piceene-Empenig-Ptilcri","SUBASS Pl-Vaccsco-Pleusch(Empenig)",5.07142857142857,"ASSOC Pinucon-Vaccsco-Pleusch (MSxv zonal)","ASSOC Piceene-Empenig-Ptilcri",1
"ASSOC Piceene-Loniinv","SUBASS Sxw-Equiset(Loniinv)",4.87179487179487,"ASSOC Sxw-Loniinv-Equiset-Hylospl (SBS)","ASSOC Piceene-Loniinv",1
"ASSOC Piceene-Loniinv","ASSOC Piceene-Spirbet-Lathoch-Pleusch",7.10810810810811,"ASSOC Piceene-Spirbet-Lathoch-Pleusch","ASSOC Piceene-Loniinv",1
"ASSOC Piceene-Spirbet-Lathoch-Pleusch","ASSOC Piceene-Spirbet-Rosaaci-Pleusch",8,"ASSOC Piceene-Spirbet-Rosaaci-Pleusch","ASSOC Piceene-Spirbet-Lathoch-Pleusch",1
"ASSOC Piceene-Spirbet-Lathoch-Pleusch","SUBASS FdSx-Calarub(Petafri)",7.44444444444444,"ASSOC Pseumen-Piceene-Calarub (SBSdw)","ASSOC Piceene-Spirbet-Lathoch-Pleusch",1
"ASSOC Piceene-Vaccmem-Paximyr","SUBASS Bl-Vaccmem-Pleusch(typic)",6.49149177538287,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Piceene-Vaccmem-Paximyr",1
"ASSOC Picegla-Lupiarc-Hylospl","ASSOC Picegla-Saligla-Betunan",2.5,"ASSOC Picegla-Saligla-Betunan","ASSOC Picegla-Lupiarc-Hylospl",1
"ASSOC Picegla-Lupiarc-Hylospl","%ASSOC Picegla-Salix-Hylospl",0.75,"%ASSOC Picegla-Salix-Hylospl","ASSOC Picegla-Lupiarc-Hylospl",1
"ASSOC Picegla-Pentflo-Equiset","%ASSOC Picegla-Salix-Hylospl",9.875,"%ASSOC Picegla-Salix-Hylospl","ASSOC Picegla-Pentflo-Equiset",1
"ASSOC Picegla-Pentflo-Equiset","ASSOC Picegla-Saligla-Betunan",7.26923076923077,"ASSOC Picegla-Saligla-Betunan","ASSOC Picegla-Pentflo-Equiset",1
"ASSOC Picegla-Rubupub-Hylospl","SUBASS Sw-Ribetri-Equiset(typic)",9.07125185551707,"ASSOC Picegla-Ribetri-Equiset","ASSOC Picegla-Rubupub-Hylospl",1
