"","SiteUnit","NoPlots","TotalSpp","NonrareSpp","ConstSpp","PotDiff.sum","Issues"
"2212","%ASSOC Piceene-Betunan-Aulapal",4,89,89,26,45,"Low Plots"
"2301","%ASSOC Piceene-Carescp-Valesit",5,84,43,30,79.9,"Low Plots"
"2385","%ASSOC Piceene-Equiset-Thalocc?",7,121,59,22,55.7142857142857,"Few Plots"
"2506","%ASSOC Piceene-Pinucon-Rhodgro-Pleusch",6,82,46,20,61.1666666666667,"Few Plots"
"2588","%ASSOC Piceene-Pleusch-Brachyt",8,116,73,28,59.375,"Few Plots"
"2704","%ASSOC Piceene-Pseumen-Oryzasp-Geocliv",6,102,63,33,78.6666666666667,"Few Plots"
"2806","%ASSOC Piceene-Rosaaci-Aralnud",6,104,61,32,85,"Few Plots"
"2910","%ASSOC Piceene-Spirdou-Gymndry",6,104,51,22,68.3333333333333,"Few Plots"
"3014","%ASSOC Piceene-Spirdou-Rosaaci",5,70,51,34,101.3,"Low Plots"
"3084","%ASSOC Picegla-Betunan-Calacan",7,67,32,7,30.8571428571429,"Few Plots"
"3151","%ASSOC Picegla-Betunan-Cladina",8,120,42,3,8.125,"Few Plots"
"3271","%ASSOC Picegla-Gymndry-Aralnud",8,104,62,24,67.875,"Few Plots"
"3375","%ASSOC Picegla-Junicom-Leyminn",8,61,40,11,37.6875,"Few Plots"
"3436","%ASSOC Picegla-Pinucon-Shepcan-Astecon",7,65,38,11,37.1428571428571,"Few Plots"
"3501","%ASSOC Picegla-Ribetri-Mertpan",5,76,42,30,87.7,"Low Plots"
"3577","%ASSOC Picegla-Salix-Hylospl",8,110,42,6,19.125,"Few Plots"
"3687","%ASSOC Pinualb-Abielas-Cladoni%",6,70,28,5,30.3333333333333,"Few Plots"
"3757","%ASSOC Pinualb-Abielas-Junicom-Vaccsco",5,56,26,17,40.5,"Low Plots"
"3813","%ASSOC Pinucon-Abielas-Cladina%",9,91,42,12,26,"Few Plots"
"3904","%ASSOC Pinucon-Cladoni-Polyjun",5,116,53,31,51.6,"Low Plots"
"4020","%ASSOC Pinucon-Empenig-Cladina",3,53,53,19,60.3333333333333,"Low Plots"
"4073","%ASSOC Pinucon-Junicom-Arctuva",4,74,74,11,34.625,"Low Plots"
"4147","%ASSOC Pinucon-Juniper-Oryzops",4,80,80,14,33.125,"Low Plots"
"4227","%ASSOC Pinucon-Ledugro-Vaccmyl",4,70,70,37,113.75,"Low Plots"
"4297","%ASSOC Pinucon-Shepcan-Dicranu",5,39,25,17,44.9,"Low Plots"
"4336","%ASSOC Pinucon-Shepcan-Linnbor",9,91,50,21,49.7777777777778,"Few Plots"
"4427","%ASSOC Pinucon-Vaccmyl-Cladoni",6,79,44,16,42.5,"Few Plots"
"4506","%ASSOC Pinucon-Vaccsco-Racomit",4,54,54,8,26.5,"Low Plots"
"4560","%ASSOC Pinupon-Phillew-Pseuspi",7,83,28,7,30.2857142857143,"Few Plots"
"4643","%ASSOC Pinupon-Purstri-Pseuspi",4,68,68,12,41,"Low Plots"
"4711","%ASSOC Pseumen-Abielas-Arctuva",7,77,42,16,36.6428571428571,"Few Plots"
"4788","%ASSOC Pseumen-Acergla-Amelaln",8,104,54,13,30.125,"Few Plots"
"4892","%ASSOC Pseumen-Acergla-Pensfru",4,68,68,10,24.25,"Low Plots"
"4960","%ASSOC Pseumen-Amelaln-Rosaaci-Aralnud",3,70,70,26,65.6666666666667,"Low Plots"
"5030","%ASSOC Pseumen-Junisco-Calarub",7,93,50,15,40.8571428571429,"Few Plots"
"5123","%ASSOC Pseumen-Physmal-Calarub (Boundary - Physmal)",7,85,37,8,30.5714285714286,"Few Plots"
"5208","%ASSOC Pseumen-Piceene-Cornsto-Rubupar",3,45,45,18,84.3333333333333,"Low Plots"
"5253","%ASSOC Pseumen-Rosaaci-Acergla-Hylospl",8,115,62,27,59.0625,"Few Plots"
"5368","%ASSOC Pseumen-Thujpli-Rubupar-Aralnud",8,118,63,23,56.1875,"Few Plots"
"5486","%ASSOC Pseumen-Thujpli-Tsughet-Paximyr-Hylospl%",4,37,37,9,30.625,"Low Plots"
"5523","%ASSOC Pseumen(Pinucon)-Paximyr-Calarub",7,93,43,7,20.9285714285714,"Few Plots"
"5616","%ASSOC SeBl-Equiarv-Gymndry",6,111,61,20,51.75,"Few Plots"
"5727","%ASSOC Thujpli-Equiarv-Mnium",5,106,31,16,36.2,"Low Plots"
"5833","%ASSOC Thujpli-Paximyr-Vaccovl",5,71,40,26,76.3,"Low Plots"
"5904","%ASSOC Thujpli-Piceene-Caredis",4,78,78,10,43.625,"Low Plots"
"5982","%ASSOC Thujpli-Pseumen-Gymndry",2,44,44,10,53,"Low Plots"
"6026","%ASSOC Thujpli-Tsughet-Tiartri",4,65,65,10,31,"Low Plots"
"6091","%ASSOC Tsughet-Arctuva-Cladoni",2,64,64,15,50.5,"Low Plots"
"6155","%ASSOC Tsughet-Equiset-Sphagnu",8,69,42,25,89.75,"Few Plots"
"6224","%ASSOC Tsugmer-Abielas-Vaccova-Valesit",45,158,28,9,33.2444444444444,"OK"
"6382","%ASSOC Tsugmer-Picesit--Calanut-Veravir",5,54,26,20,70.1,"Low Plots"
"6436","%Ws11 ASSOC Piceene-Abielas-Lysiame",5,82,44,25,70.6,"Low Plots"
"6518","?ASSOC Abieama-Streamp-Strelan",2,29,29,10,47.5,"Low Plots"
"6547","?ASSOC Abielas-Tsugmer-Gymndry",6,61,31,11,47.1666666666667,"Few Plots"
"6608","?ASSOC Abielas-Vaccmem-Ribelac",3,71,71,30,86.1666666666667,"Low Plots"
"6679","?ASSOC Abielas-Vaccmem-Rubupar%",2,58,58,23,90,"Low Plots"
"6737","?ASSOC Chamnoo-Sphagnu",5,61,18,7,19.9,"Low Plots"
"6798","?ASSOC Piceene-Calacan",2,45,45,13,48,"Low Plots"
"6843","?ASSOC Piceene-Carescp-Mnium",2,56,56,16,57.5,"Low Plots"
"6899","?ASSOC Piceene-Loniinv-Calamag%",3,54,54,17,39.3333333333333,"Low Plots"
"6953","?ASSOC Piceene-Rhodgro-Empenig-Aulapal",1,29,29,29,117,"Low Plots"
"6982","?ASSOC Piceene-Shepcan-Equisci%",1,39,39,39,96,"Low Plots"
"7021","?ASSOC Piceene-Shepcan-Linnbor?",1,34,34,34,91.5,"Low Plots"
"7055","?ASSOC Piceene-Spirbet-Aulapal%",3,91,91,59,120.666666666667,"Low Plots"
"7146","?ASSOC Piceene-Vacccae-Empenig-Aulapal",1,28,28,28,81.5,"Low Plots"
"7174","?ASSOC Picesit-Tsughet-Thujpli-Gaulsha",4,31,31,3,23.5,"Low Plots"
"7205","?ASSOC Pinualb-Abielas-Junicom-Cladoni",2,16,16,7,23.5,"Low Plots"
"7221","?ASSOC Pinucon-Abielas-Arctuva-Dicranu?",1,17,17,17,61,"Low Plots"
"7238","?ASSOC Pinucon-Arctuva-Dicrpol",2,42,42,23,75.5,"Low Plots"
"7280","?ASSOC Pinucon-Racomit",2,26,26,9,25.5,"Low Plots"
"7306","?ASSOC Pinupon-Rhusgla-Phillew",3,68,68,51,89.6666666666667,"Low Plots"
"7374","?ASSOC Pseumen-Abielas-Paximyr-Racomit",2,39,39,11,37,"Low Plots"
"7413","?ASSOC Pseumen-Abielas-Vaccmem",3,77,77,28,64.8333333333333,"Low Plots"
"7490","?ASSOC Pseumen-Oryzasp-Pleusch%",1,38,38,38,94.5,"Low Plots"
"7528","?ASSOC Pseumen-Pinupon-Sympocc-Pseuspi?",8,73,31,8,19,"Few Plots"
"7601","?ASSOC Pseumen-Rosaaci-Pleusch-Hylospl",1,41,41,41,91,"Low Plots"
"7642","?ASSOC Pseumen-Shepcan-Hylospl",3,81,81,22,55.6666666666667,"Low Plots"
"7723","?ASSOC Pseumen-Thujpli-Dicrpol%",3,102,102,54,101,"Low Plots"
"7825","?ASSOC Thujpli-Oplohor-Mattstr",3,56,56,23,84,"Low Plots"
"7881","?ASSOC Thujpli-Piceene-Rubupar",3,79,79,52,139.666666666667,"Low Plots"
"7960","?ASSOC Thujpli-Polygly",2,23,23,10,55,"Low Plots"
"7983","?ASSOC Thujpli-Popubal-Rubupar-Aralnud",2,40,40,17,87,"Low Plots"
"8023","?ASSOC Thujpli-Tsughet-Athyfil-Gymndry",1,18,18,18,54.5,"Low Plots"
"8041","?ASSOC Thujpli-Vaccovt",2,29,29,5,21.5,"Low Plots"
"8070","?ASSOC Tsughet-Pseumen-Shepcan-Acergla?",3,63,63,24,70.8333333333333,"Low Plots"
"8133","?ASSOC Tsughet-Thujpli-Junicom-Paximyr",2,66,66,19,62,"Low Plots"
"8199","?ASSOC Tsugmer-Chamnoo-Coptasp",1,9,9,9,31,"Low Plots"
"8208","ASSOC $SBSdk05-01",8,75,39,12,50,"Few Plots"
"8283","ASSOC Abieama-Blecspi",380,267,25,7,32.7473684210526,"OK"
"8550","ASSOC Abieama-Oplohor",310,344,30,11,41.0290322580645,"OK"
"8894","ASSOC Abieama-Rubuped",249,247,26,8,38.9638554216867,"OK"
"9141","ASSOC Abielas-(Tsugmer)-Vaccmem (wv zonal)",45,168,34,9,45.1777777777778,"OK"
"9309","ASSOC Abielas-Abieama-Rhodalb-Rubuped (ESSFmw zonals)",29,113,30,10,51.8965517241379,"OK"
"9422","ASSOC Abielas-Abieama-Rubuped-Rhytrob (ESSFmw alternate zonal)",9,81,39,16,37.4444444444444,"Few Plots"
"9503","ASSOC Abielas-Abieama-Vaccmem-Dicranu",10,46,21,10,51.3,"OK"
"9549","ASSOC Abielas-Abieama-Vaccmem-Pleusch (ESSFdh zonal)",14,105,46,11,44.5714285714286,"OK"
"9654","ASSOC Abielas-Athyfil-Equiset",13,172,70,19,63.5384615384615,"OK"
"9826","ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)",121,266,42,17,57.2644628099174,"OK"
"10092","ASSOC Abielas-Gymndry-Dicranu",25,150,48,14,48.58,"OK"
"10242","ASSOC Abielas-Gymndry-Equiset (Northern)",21,178,50,11,34,"OK"
"10420","ASSOC Abielas-Loniinv-Athyfil",15,163,70,37,88.2666666666667,"OK"
"10583","ASSOC Abielas-Menzfer-Rhodalb-Xeroten",13,95,39,13,45.7692307692308,"OK"
"10678","ASSOC Abielas-Menzfer-Ribelac",23,167,41,13,44.1086956521739,"OK"
"10845","ASSOC Abielas-Menzfer-Rubuped-Dicranu",59,121,25,8,42.8728813559322,"OK"
"10966","ASSOC Abielas-Menzfer-Vaccmyt",14,62,22,9,41.1071428571429,"OK"
"11028","ASSOC Abielas-Menzfer-Xeroten",17,78,26,8,51.6470588235294,"OK"
"11106","ASSOC Abielas-Piceeng-Athyfil-Gymndry",51,226,43,13,55.5882352941176,"OK"
"11332","ASSOC Abielas-Piceeng-Gymndry-Valesit",46,149,29,12,37.8586956521739,"OK"
"11481","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",68,227,49,11,56.5661764705882,"OK"
"11708","ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)",61,232,31,7,34.827868852459,"OK"
"11940","ASSOC Abielas-Picemar-Ledugro",1,21,21,21,73,"Low Plots"
"11961","ASSOC Abielas-Pinucon-Menzfer-Vaccsco",53,193,37,7,43.5094339622641,"OK"
"12154","ASSOC Abielas-Pinucon-Paximyr-Vaccsco",24,147,37,8,42.625,"OK"
"12301","ASSOC Abielas-Pinucon-Vaccmyt-Xeroten",11,86,24,10,42.2727272727273,"OK"
"12387","ASSOC Abielas-Pinucon-Vaccsco-Cladoni",45,202,32,9,26.6,"OK"
"12589","ASSOC Abielas-Pinucon-Vaccsco - Cladonia",98,202,23,5,29.3265306122449,"Few Constants"
"12791","ASSOC Abielas-Rhodalb-Empenig",18,95,26,12,45.8888888888889,"OK"
"12886","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",179,327,35,11,56.0893854748603,"OK"
"13213","ASSOC Abielas-Rhodalb-Menzfer",13,101,35,8,38.8461538461538,"OK"
"13314","ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)",81,191,37,10,51.1604938271605,"OK"
"13505","ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)",102,201,20,9,29.4313725490196,"OK"
"13706","ASSOC Abielas-Rhodalb-Pleusch-Ptilcri (mv zonals)",138,259,37,13,47.213768115942,"OK"
"13965","ASSOC Abielas-Rhodalb-Vaccmem-Dicranu",15,74,19,7,34.7333333333333,"OK"
"14039","ASSOC Abielas-Rhodalb-Vaccmem-Xeroten",55,146,22,8,51.6545454545455,"OK"
"14185","ASSOC Abielas-Rhodalb-Vaccsco",80,179,28,6,45.8125,"OK"
"14364","ASSOC Abielas-Tsugmer-Valesit",4,27,27,5,25.75,"Low Plots"
"14391","ASSOC Abielas-Vaccmem-Empenig",6,65,28,8,22.75,"Few Plots"
"14456","ASSOC Abielas-Vaccmem-Paximyr",20,157,32,6,22.9,"OK"
"14613","ASSOC Abielas-Vaccmem-Pleusch (mc zonals)",74,283,39,7,34.1351351351351,"OK"
"14896","ASSOC Abielas-Valesit-Arnica(dry)",31,167,39,11,36.3709677419355,"OK"
"15063","ASSOC Abielas-Valesit-Tiarella-Mnium (wetter)",67,287,44,13,46.0671641791045,"OK"
"15350","ASSOC Abielas-Valesit-Trollax",61,267,41,12,44.7622950819672,"OK"
"15617","ASSOC Abielas-Valesit-Veravir-Trolalb (moist woodland)",27,202,40,11,40.8888888888889,"OK"
"15819","ASSOC Abielas Rhodalb-Vaccvit",11,76,29,9,47.6363636363636,"OK"
"15895","ASSOC Abielas(Larilya)-Vaccmem-Vaccsco-Luzula",15,107,17,6,31.6,"OK"
"16002","ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)",123,229,35,9,46.3252032520325,"OK"
"16231","ASSOC Abieslas-Rhodalb-Vaccmem-Tiartri",47,181,26,9,38.1702127659574,"OK"
"16412","ASSOC BaSs - Polymun",21,102,30,17,43.2619047619048,"OK"
"16514","ASSOC Bl-Rhodalb-Tiartri -Arnica",12,95,43,16,60.8333333333333,"OK"
"16609","ASSOC Bl-Rhodalb-Woodrush",58,143,21,4,29.7931034482759,"Few Constants"
"16752","ASSOC Bl-Senetri-Ligucan (S Columbia)",44,245,40,15,40.8863636363636,"OK"
"16997","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",30,161,39,11,29.7333333333333,"OK"
"17158","ASSOC Bl-Valesit-Barbilo",38,152,30,9,50.2368421052632,"OK"
"17310","ASSOC BlCwLw-Clinuni",11,99,35,10,42.5454545454545,"OK"
"17409","ASSOC BlFd-Vaccmem-Paximyr",24,150,44,11,35.9166666666667,"OK"
"17559","ASSOC BlHw-Vaccmem-Rhytrob",29,124,36,12,45.8620689655172,"OK"
"17683","ASSOC BlHw - Rhodalb - Tiartri (wh zonals)",80,170,34,13,56.95625,"OK"
"17853","ASSOC BlPa - Arctuva",4,87,87,11,31.5,"Low Plots"
"17940","ASSOC BlPa - Vaccmem - Cladoni",16,119,29,5,29.75,"Few Constants"
"18059","ASSOC BlPa - Vaccmem - Paximyr",11,105,35,12,26.3636363636364,"OK"
"18164","ASSOC BlPaHm-Cladoni-Dicrfus",18,96,31,5,35.6388888888889,"Few Constants"
"18260","ASSOC BlSe-Menzfer-Tiartri",17,143,40,7,33.5294117647059,"OK"
"18403","ASSOC BlSe-Rhodalb-Tiartri (mh zonals)",25,95,26,11,49.12,"OK"
"18498","ASSOC BlSe-Vaccsco-Valesit (xc zonals)",43,181,34,7,38.9302325581395,"OK"
"18679","ASSOC BlSe - Vaccsco",58,261,29,5,34.6206896551724,"Few Constants"
"18940","ASSOC Chamnoo-Tsugmer-Empenig-Cassmer",12,86,35,7,26.75,"OK"
"19026","ASSOC CwSs-Polymun",35,129,34,13,42.1428571428571,"OK"
"19155","ASSOC CwSs-Tiartri (wet rich wh1)",100,179,36,17,46.92,"OK"
"19334","ASSOC CwSs - Devils club",67,143,36,12,35.7238805970149,"OK"
"19477","ASSOC CwSx-Corncan",5,78,36,18,47.8,"Low Plots"
"19555","ASSOC CwYcPl-Coptasp (bog forest)",20,183,62,27,95.95,"OK"
"19738","ASSOC Fd-Calarub-Pleusch(IDFxm zonal)",37,154,55,15,34.972972972973,"OK"
"19892","ASSOC Fd-Calarub-Pseuspi-Arctuva",42,251,30,7,26.8809523809524,"OK"
"20143","ASSOC Fd-Festsxi-Pseuspi(Festcam)",18,129,42,6,31.8333333333333,"OK"
"20272","ASSOC Fd-Junicom (MS warmer)",30,203,28,6,17.0333333333333,"OK"
"20475","ASSOC Fd(PlLw)-Calarub",30,158,35,8,37.4666666666667,"OK"
"20633","ASSOC Fd(Py) - Acerdou - Calarub",47,255,39,11,35.1489361702128,"OK"
"20888","ASSOC FdCw-Hazelnut (IDFww/CWHxs)",29,142,43,14,35.4137931034483,"OK"
"21030","ASSOC FdLw-Sympalb-Calarub(IDFdh)",20,184,37,11,40.9,"OK"
"21214","ASSOC FdPl-Calarub-Pleusch(zonal IDFdk)",375,440,34,10,37.176,"OK"
"21654","ASSOC FdPy-Physmal-Holodis-Pseuspi",19,189,60,11,35.8947368421053,"OK"
"21843","ASSOC FdPy-Pseuspi-Calarub-Arctuva",8,106,49,14,49.75,"Few Plots"
"21949","ASSOC FdPy-Pseuspi-Festcam(Calarub)",12,123,47,10,35.9166666666667,"OK"
"22072","ASSOC HwCw - Gaulsha - Eurhore",39,67,19,11,50.7435897435897,"OK"
"22139","ASSOC Piceene-(Pseumen)-Cornsto-Corncan",28,206,51,16,29.8928571428571,"OK"
"22345","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",29,192,61,10,19.2413793103448,"OK"
"22537","ASSOC Piceene-Abielas-Menzfer-Corncan",38,228,63,13,36.8947368421053,"OK"
"22765","ASSOC Piceene-Abielas-Oplohor",13,126,54,20,62,"OK"
"22891","ASSOC Piceene-Abielas-Rhodneo-Vaccsco",21,177,43,18,82.1904761904762,"OK"
"23068","ASSOC Piceene-Abielas-Ribelac",43,231,59,11,34.5348837209302,"OK"
"23299","ASSOC Piceene-Alnuinc-Athyfil",4,71,71,21,68.75,"Low Plots"
"23370","ASSOC Piceene-Betunan-Pleusch",23,156,64,20,41.1304347826087,"OK"
"23526","ASSOC Piceene-Cornsto-Equiset (IDF)",47,294,49,4,26.2127659574468,"Few Constants"
"23820","ASSOC Piceene-Empenig-Pleusch-Aulapal",9,102,66,13,44.3888888888889,"Few Plots"
"23922","ASSOC Piceene-Empenig-Ptilcri",28,176,48,13,41.5357142857143,"OK"
"24098","ASSOC Piceene-Equiset-Aulapal",99,402,60,13,29.8787878787879,"OK"
"24500","ASSOC Piceene-Gymndry-Pleusch (SBSwk zonals)",163,309,58,19,53.9570552147239,"OK"
"24809","ASSOC Piceene-Loniinv",52,259,75,22,59.7884615384615,"OK"
"25068","ASSOC Piceene-Loniinv-Gymndry",33,234,69,21,67.2121212121212,"OK"
"25302","ASSOC Piceene-Oplohor-Athyfil-Corncan (SBSvk zonal)",92,246,53,22,74.7282608695652,"OK"
"25548","ASSOC Piceene-Oplohor-Athyfil (ICH)",39,237,53,12,50.3846153846154,"OK"
"25785","ASSOC Piceene-Orthsec-Pleusch (MSdc)",16,106,28,9,32.6875,"OK"
"25891","ASSOC Piceene-Paximyr-Pleusch (zonal MSdm)",119,261,38,11,32.7058823529412,"OK"
"26152","ASSOC Piceene-Pseumen-Cornsto-Acergla",17,170,40,13,45.5294117647059,"OK"
"26322","ASSOC Piceene-Pseumen-Rhyttri (SBSdh)",40,191,58,22,53.9625,"OK"
"26513","ASSOC Piceene-Pseumen(Lariocc)-Sympalb-Aralnud",9,103,51,12,28.8888888888889,"Few Plots"
"26616","ASSOC Piceene-PseumenCornsto-Aralnud",21,178,41,7,25.8571428571429,"OK"
"26794","ASSOC Piceene-Vaccmem-Paximyr",41,145,29,11,42.6829268292683,"OK"
"26939","ASSOC Piceene-Vaccmem-Vibuedu (SBSmk zonals)",103,266,58,20,56.5339805825243,"OK"
"27205","ASSOC Piceene-Vaccmem (SBSmc zonals)",173,280,51,14,54.9768786127168,"OK"
"27485","ASSOC Piceene(Tsughet)-Vaccmem-Gymndry",19,159,63,15,77.6842105263158,"OK"
"27644","ASSOC Piceeng-Abielas-Equiarv-Valesit",164,507,47,7,33.0853658536585,"OK"
"28151","ASSOC Piceeng-Oplohor-Athyfil(Tsughet)",8,88,46,19,70.375,"Few Plots"
"28239","ASSOC Picegla-Lupiarc-Hylospl",18,110,29,7,22.3333333333333,"OK"
"28349","ASSOC Picegla-Pentflo-Equiset",26,211,48,7,17.8076923076923,"OK"
"28560","ASSOC Picegla-Pinucon-Shepcan-Geocliv",36,158,36,13,50.7222222222222,"OK"
"28718","ASSOC Picegla-Ribetri-Equiset",148,412,46,14,40.3547297297297,"OK"
"29130","ASSOC Picegla-Rubupub-Hylospl",47,196,52,17,48.8085106382979,"OK"
"29326","ASSOC Picegla-Saligla-Betunan",32,192,31,8,21.703125,"OK"
"29518","ASSOC Picegla-Salix-Empenig",10,104,26,12,43.45,"OK"
"29622","ASSOC Picegla-Shepcan-Hylospl",97,235,32,14,35.3659793814433,"OK"
"29857","ASSOC Picegla-Shepcan-Leyminn",53,244,42,13,49.3207547169811,"OK"
"30101","ASSOC Picegla-Vaccmem-Hylospl",35,177,37,16,59.7857142857143,"OK"
"30278","ASSOC Picegla-Vaccvit-Hylospl",101,222,30,11,34.8514851485149,"OK"
"30500","ASSOC Picemar-Larilar-Salimyr-Tomenit",2,33,33,10,51.5,"Low Plots"
"30533","ASSOC Picemar-Ledugro-Hylospl",271,378,31,11,39.9944649446494,"OK"
"30911","ASSOC Picemar-Tsughet-Ledugro-Sphagnu",2,27,27,9,52,"Low Plots"
"30938","ASSOC Picemar-Vaccmem-Petafri [[ISSUE Cold Subboreal]]",32,180,61,16,51.140625,"OK"
"31118","ASSOC Picene-Pseumen-Oplohor",29,179,58,18,50.7241379310345,"OK"
"31297","ASSOC Piceng-Oplohor-Athyfil",47,235,47,14,55.6595744680851,"OK"
"31532","ASSOC Picesit-Acermac-Oplohor-Rubuspe-Maiadil",20,102,33,9,51,"OK"
"31634","ASSOC Picesit-Calanut",22,109,23,5,25.4090909090909,"Few Constants"
"31743","ASSOC Picesit-Careobn",5,56,22,13,51,"Low Plots"
"31799","ASSOC Picesit-Eurhore",15,65,22,9,40.2666666666667,"OK"
"31864","ASSOC Picesit-Gaulsha-Maiadil",29,94,19,6,36.0689655172414,"OK"
"31958","ASSOC Picesit-Gymndry",26,80,27,14,57.8076923076923,"OK"
"32038","ASSOC Picesit-Maiadil (HG high bench)",30,109,31,9,34.3166666666667,"OK"
"32147","ASSOC Picesit-Oplohor",52,130,34,12,61.7307692307692,"OK"
"32277","ASSOC Picesit-Rubuspe",10,95,36,14,58.3,"OK"
"32372","ASSOC Picesit-Triscan (HG mid bench)",19,121,48,16,48.2105263157895,"OK"
"32493","ASSOC Picesit-Tsughet-Oplohor-Rubuspe-Gymndry",100,219,36,9,46.95,"OK"
"32712","ASSOC Pinualb-Abielas-Junicom-Shepcan",10,91,39,16,40.1,"OK"
"32803","ASSOC Pinucon-Abielas-Junicom-Eurycon",20,152,33,11,36.9,"OK"
"32955","ASSOC Pinucon-Abielas-Vaccmem-Cladoni",18,117,33,7,33.3888888888889,"OK"
"33072","ASSOC Pinucon-Arctuva-Cladoni (SBPSxc zonal)",107,197,39,12,36.5467289719626,"OK"
"33269","ASSOC Pinucon-Arctuva-Vaccvit",47,204,42,10,22.5106382978723,"OK"
"33473","ASSOC Pinucon-Calarub-Arctuva",14,101,43,11,43.2857142857143,"OK"
"33574","ASSOC Pinucon-Calarub-Pleusch",89,269,63,25,52.5449438202247,"OK"
"33843","ASSOC Pinucon-Calarub-Vaccsco",37,160,32,9,37.7837837837838,"OK"
"34003","ASSOC Pinucon-Calarub-Vaccsco-Pleusch (MSxk)",76,220,43,10,41.0921052631579,"OK"
"34223","ASSOC Pinucon-Festalt-Stercau",10,74,35,13,33.7,"OK"
"34297","ASSOC Pinucon-Gausha-Cladina",59,182,22,4,6.8135593220339,"Few Constants"
"34479","ASSOC Pinucon-Junicom-Arctuva",11,111,42,12,24.1818181818182,"OK"
"34590","ASSOC Pinucon-Junicom-Calarub",33,201,43,7,24.8484848484848,"OK"
"34791","ASSOC Pinucon-Junicom-Calarub-Cladoni",9,93,52,14,35.2222222222222,"Few Plots"
"34884","ASSOC Pinucon-Junicom-Pleusch",21,90,44,19,55.4047619047619,"OK"
"34974","ASSOC Pinucon-Piceene-Rhodneo-Vaccsco",38,160,35,11,41,"OK"
"35134","ASSOC Pinucon-Picemar-Pleusch",26,151,45,24,60.2692307692308,"OK"
"35285","ASSOC Pinucon-Pleusch-Cladina",68,206,45,11,30.8970588235294,"OK"
"35491","ASSOC Pinucon-Pseumen-Paximyr-Calarub",73,232,38,7,39.3972602739726,"OK"
"35723","ASSOC Pinucon-Rhodalb-Calarub-Pleusch",17,142,43,11,40.6176470588235,"OK"
