PlotNumber Species Cover
$812062 MONEUNI-7 1
$812063 TIARTRI2-7 10
$812063 VIOLGLA-7 2
$812063 OSMORHI-7 1
$812063 GOODREP-7 1
$812063 PICEENG-1 5
$812063 DRYOEXP-5 1
$812063 LONIUTA-4 1
$812063 THUJPLI-1 72
$812063 GYMNDRY-5 85
$812063 VIOLORB-7 2
$812063 MNIUM-9 25
$812063 RUBUPED-7 2
$812063 BRACHYL-9 20
$812063 VERAVIR-7 1
$812063 PROSHOO-7 1
$812063 PEDIBRA-7 1
$812063 STRELAN-7 1
$812063 LARIOCC-1 3
$812063 ADENBIC-7 1
$812063 VACCMEM-4 2
$812063 RHYTROB-9 6
$812063 OPLOHOR-4 25
$812063 ABIELAS-1 6
$812063 MENZFER-4 1
$812063 TAXUBRE-1 1
$812063 ATHYFIL-5 6
$812063 CLINUNI-7 7
$812063 MONEUNI-7 1
$812063 ANGELIC-7 1
$812063 GALITRF-7 1
$812063 TSUGHET-1 37
$812064 MENZFER-4 3
$812064 LONIUTA-4 1
$812064 MNIUM-9 2
$812064 VIOLADU-7 1
$812064 LINNBOR-12 1
$812064 TAXUBRE-1 17
$812064 LYCOCLA-5 5
$812064 PTERAQU-5 1
$812064 TRILOVA-7 1
$812064 ALNUVIR-4 4
$812064 ATHYFIL-5 5
$812064 SORBSIT-4 1
$812064 ORTHSEC-7 1
$812064 VACCMEM-4 5
$812064 OPLOHOR-4 1
$812064 PAXIMYR-3 1
$812064 RUBUPED-7 1
$812064 PINUMON-1 1
$812064 PICEENG-1 17
$812064 GOODOBL-7 1
$812064 TIARTRI2-7 3
$812064 CHIMUMB-12 1
$812064 STREAMP-7 1
$812064 THUJPLI-1 34
$812064 TSUGHET-1 50
$812064 PYROCHL-7 1
$812064 CLINUNI-7 15
$812064 PROSHOO-7 1
$812064 ABIELAS-1 11
$812064 PLATDIL-7 1
$812064 MAIARAC-7 1
$812064 GAULOVA-12 1
$812064 RHYTROB-9 8
$812064 XEROTEN-7 1
$812064 GYMNDRY-5 25
$812064 VACCOVL-4 1
$812065 PINUPON-1 11
$812065 AMELALN-4 7
$812065 ROSAWOO-4 2
$812065 POLYJUN-9 10
$812065 PSEUMEN-1 2
$812065 ACHIMIL-7 3
$812065 CLARPUL-7 0.5
$812065 SEDUSTE-7 0.5
$812065 PSEUSPI-6 20
$812065 RACOCAN-9 50
$812065 HIERALI-7 0.5
$812065 FESTOCC-6 3
$812065 HEUCCYL-7 0.5
$812065 TARAOFF-7 0.5
$812065 PHYSMAL-4 2
$812065 RUBUIDA-4 0.5
$812065 HOLODIC-4 1
$812065 PENSFRU-7 10
$812065 CRYPACR-5 7
$812065 TRAGDUB-7 0.5
$812065 EPILMIN-7 0.5
$812065 CONYCAN-7 0.5
$812065 TORTULA-9 5
$812065 LUZUPAR-6 0.5
$812065 BROMTEC-6 5
$812066 SHEPCAN-4 45
$812066 PINUCON2-1 52
$812066 PTERAQU-5 1
$812066 THALOCC-7 1
$812066 FESTOCC-6 1
$812066 FRAGVES-7 1
$812066 ROSAGYM-4 3
$812066 RIBEVIS-4 1
$812066 PAXIMYR-3 50
$812066 SALIX-0 13
$812066 PELTCAN-11 1
$812066 ADENBIC-7 1
$812066 STRELAN-7 1
$812066 RUBUPAR-4 40
$812066 XEROTEN-7 7
$812066 CLINUNI-7 10
$812066 VIOLORB-7 1
$812066 BRACALB-9 7
$812066 PROSHOO-7 1
$812066 CAREROS-6 1
$812066 MAIARAC-7 1
$812066 ABIELAS-1 1
$812066 HIERGRA-7 1
$812066 AMELALN-4 1
$812066 PYRODEN-7 1
$812066 RHYTROB-9 1
$812066 VACCMEM-4 7
$812066 ORTHSEC-7 1
$812066 LILICOL-7 1
$812066 GOODOBL-7 1
$812066 LONIUTA-4 1
$812066 LINNBOR-12 25
$812068 VACCMEM-4 25
$812068 CLINUNI-7 30
$812068 PROSHOO-7 10
$812068 RUBUPED-7 0.5
$812068 OPLOHOR-4 0.5
$812068 STREAMP-7 0.5
$812068 RHYTROB-9 7
$812068 THALOCC-7 0.5
$812068 GALITRF-7 0.5
$812068 VIOLGLA-7 2
$812068 ABIELAS-1 23.5
$812068 OSMOBER-7 0.5
$812068 RIBEVIS-4 0.5
$812068 SORBSIT-4 0.5
$812068 LUZULA-6 0.5
$812068 ELYMGLA-6 3
$812068 ATHYFIL-5 0.5
$812068 LONIUTA-4 5
$812068 TRILOVA-7 0.5
$812068 GYMNDRY-5 10
$812068 PICEENG-1 59.5
$812068 CALYBUL-7 0.5
$812068 ORTHSEC-7 5
$812068 PAXIMYR-3 30
$812068 PINUMON-1 1
$812068 RIBELAC-4 15
$812068 HIERALI-7 0.5
$812068 PETAFRI3-7 0.5
$812068 TIARTRI-7 15
$812068 PLAGMED-9 3
$812068 ACTARUB-7 0.5
$812068 XEROTEN-7 2
$812069 FRAGVIR-7 1
$812069 ANAPMAR-7 1
$812069 TRIFOLI-7 2
$812069 PEDIBRA-7 1
$812069 SYMPALB-4 1
$812069 CAMPROT-7 1
$812069 SALIX-0 2
$812069 LUZUMUL-6 1
$812069 FRAGVES-7 1
$812069 EURYCON-7 7
$812069 ANGEARG-7 1
$812069 CLADMUL-11 1
$812069 CHIMUMB-12 1
$812069 LARIOCC-1 1
$812069 ANTEUMB-7 1
$812069 LUPIARC-7 6
$812069 ROSAGYM-4 25
$812069 CAREROS-6 1
$812069 VACCSCO-12 1
$812069 AMELALN-4 8
$812069 BRACALB-9 30
$812069 VIOLADU-7 1
$812069 CALARUB-6 95
$812069 LILICOL-7 1
$812069 PINUCON2-1 54
$812069 HIERGRA-7 1
$812069 POLYJUN-9 1
$812069 PYROCHL-7 1
$812069 LINNBOR-12 6
$812070 CALARUB-6 15
$812070 VIOLADU-7 0.5
$812070 ACERGLA-4 13
$812070 ELYMGLA-6 3
$812070 PSEUMEN-1 63.5
$812070 PROSTRA-7 5
$812070 CLARPUL-7 0.5
$812070 FRAGVIR-7 2
$812070 MAIARAC-7 1
$812070 FESTOCC-6 3
$812070 COLLPAR-7 0.5
$812070 HOLODIC-4 5
$812070 LUPIARC-7 0.5
$812070 PROSHOO-7 1
$812070 BETUPAP-2 20
$812070 SYMPALB-4 20
$812070 TARAOFF-7 0.5
$812070 PHYSMAL-4 2
$812070 PINUPON-1 1
$812070 ALNUVIR-4 5.5
$812070 ALLICER-7 0.5
$812070 LUZUPAR-6 0.5
$812070 ARALNUD-7 2
$812070 ABIEGRA-1 4.5
$812070 RUBUPAR-4 5
$812070 EURYCON-7 2
$812070 ROSAACI-4 5
$812070 AMELALN-4 5
$812071 HEUCCYL-7 0.5
$812071 HIERALI-7 0.5
$812071 VACCMEM-4 7
$812071 HOLODIC-4 6
$812071 CRYPACR-5 0.5
$812071 CALARUB-6 15
$812071 PROSTRA-7 0.5
$812071 PAXIMYR-3 40
$812071 ROSAACI-4 0.5
$812071 ERYTGRA-7 0.5
$812071 ANTERAC-7 1
$812071 SYMPALB-4 10
$812071 FRAGVES-7 5
$812071 ARNICOR-7 2
$812071 LONIUTA-4 0.5
$812071 ACERGLA-4 5
$812071 APOCAND-7 0.5
$812071 GOODOBL-7 0.5
$812071 EURYCON-7 1
$812071 ARCTUVA-12 3
$812071 THALOCC-7 0.5
$812071 CASTMIN-7 0.5
$812071 PSEUMEN-1 50.5
$812071 SORBSIT-4 0.5
$812071 COLLPAR-7 0.5
$812071 RUBUPAR-4 3
$812071 MAIARAC-7 0.5
$812071 VIOLA-7 0.5
$812071 ELYMGLA-6 0.5
$812071 AMELALN-4 5
$812072 BETUPAP-2 10
$812072 SHEPCAN-4 2
$812072 CLINUNI-7 0.5
$812072 FRAGVES-7 0.5
$812072 PAXIMYR-3 0.5
$812072 CORNCAN-7 0.5
$812072 CAREX-6 1
$812072 PTERAQU-5 0.5
$812072 HIERCYN-7 0.5
$812072 HOLODIC-4 0.5
$812072 JUNISCO-1 0.5
$812072 FESTOCC-6 1
$812072 CLAYCOR-7 0.5
$812072 PSEUMEN-1 67
$812072 CHIMUMB-12 1
$812072 SYMPALB-4 0.5
$812072 LINNBOR-12 4
$812072 AMELALN-4 3
$812072 ORTHSEC-7 0.5
$812072 PROSHOO-7 0.5
$812072 PINUMON-1 1
$812072 RUBUPAR-4 4
$812072 ARALNUD-7 35
$812072 ROSAGYM-4 3
$812072 LARIOCC-1 10
$812072 CALARUB-6 1
$812072 ACERGLA-4 6
$812072 ARNICOR-7 0.5
$812073 OPLOHOR-4 65
$812073 THALOCC-7 0.5
$812073 BROMVUL-6 1
$812073 ACTARUB-7 1
$812073 CLINUNI-7 20
$812073 VIOLGLA-7 1
$812073 PROSHOO-7 0.5
$812073 MAIARAC-7 0.5
$812073 POPUTRI-2 25
$812073 THUJPLI-1 75
$812073 TRILOVA-7 0.5
$812073 PAXIMYR-3 0.5
$812073 ACERGLA-4 6
$812073 TSUGHET-1 1
$812073 ATHYFIL-5 2
$812073 OSMOBER-7 0.5
$812073 GYMNDRY-5 5
$812073 PICEENG-1 1
$812073 TIARTRI2-7 0.5
$812073 GALITRF-7 1
$812073 STREAMP-7 0.5
$812073 PLAGINS-9 0.5
$812073 CORNSTO-4 2.5
$812073 RIBELAC-4 3
$812074 ARCTUVA-12 0.5
$812074 AMELALN-4 3
$812074 SHEPCAN-4 15
$812074 PSEUMEN-1 20
$812074 LITHRUD-7 0.5
$812074 LILICOL-7 0.5
$812074 PINUCON2-1 11
$812074 LARIOCC-1 40.5
$812074 PINUMON-1 0.5
$812074 FRAGVES-7 3
$812074 XEROTEN-7 1
$812074 THUJPLI-1 3
$812074 APOCAND-7 0.5
$812074 VACCMEM-4 10
$812074 PLATDIL-7 0.5
$812074 FESTOCC-6 0.5
$812074 CLINUNI-7 1
$812074 HIERALI-7 0.5
$812074 LONIUTA-4 1
$812074 SALIBEB-2 1
$812074 ALNUVIR-4 0.5
$812074 POPUTRE-2 5.5
$812074 SORBSIT-4 0.5
$812074 RUBUPAR-4 1
$812074 PAXIMYR-3 25
$812074 CALARUB-6 1
$812074 PROSTRA-7 0.5
$812074 ELYMGLA-6 0.5
$812074 ROSAACI-4 0.5
$812074 CLARPUL-7 0.5
$812074 TSUGHET-1 1
$812074 ANTERAC-7 0.5
$812074 VACCMYT-12 0.5
$812074 LINNBOR-12 60
$812074 ACERGLA-4 1
$812074 PINUPON-1 1
$812074 LUZUPAR-6 0.5
$812074 CHIMUMB-12 25
$812075 PINUCON2-1 8
$812075 LONIUTA-4 1
$812075 GOODOBL-7 0.5
$812075 HIERALI-7 0.5
$812075 BROMUS-6 1
$812075 ORTHSEC-7 1
$812075 RIBELAC-4 0.5
$812075 LINNBOR-12 1
$812075 MAIARAC-7 0.5
$812075 VIOLORB-7 1
$812075 ARNICOR-7 3
$812075 TIARTRI2-7 0.5
$812075 ABIELAS-1 30
$812075 CLINUNI-7 27
$812075 SORBSIT-4 3
$812075 ALNUVIR2-4 5
$812075 LYCOANN-5 0.5
$812075 CAREX-6 0.5
$812075 ATHYFIL-5 1
$812075 TRILOVA-7 0.5
$812075 TSUGHET-1 3
$812075 CALYBUL-7 0.5
$812075 LESCURA-9 5
$812075 GALITRF-7 0.5
$812075 MENZFER-4 5
$812075 PICEENG-1 24
$812075 LARIOCC-1 1
$812075 VACCMEM-4 2
$812075 ACTARUB-7 0.5
$812075 MNIUSPN-9 0.5
$812076 GALITRF-7 1
$812076 RUBUPAR-4 0.5
$812076 VIOLORB-7 0.5
$812076 STREAMP-7 0.5
$812076 CLINUNI-7 7
$812076 EQUIARV-5 0.5
$812076 PECTBRE-7 0.5
$812076 ALNUVIR2-4 99
$812076 BROMVUL-6 1
$812076 TRILOVA-7 0.5
$812076 ABIELAS-1 4
$812076 VIOLA-7 27
$812076 RIBELAC-4 0.5
$812076 ATHYFIL-5 5
$812076 PICEENG-1 4
$812076 SAMBRAC-4 1
$812076 PSEUMEN-1 2
$812076 PINUCON2-1 6
$812076 ACTARUB-7 0.5
$812076 GYMNDRY-5 10
$812076 TIARTRI2-7 2
$812076 VERAVIR-7 0.5
$812076 MENZFER-4 2
$812076 SENETRI-7 2
$812076 MAIARAC-7 0.5
$812077 ORTHSEC-7 0.5
$812077 PICEENG-1 17
$812077 GOODOBL-7 1
$812077 VACCMEM-4 30
$812077 PAXIMYR-3 0.5
$812077 PINUPON-1 1
$812077 SORBSCO-4 0.5
$812077 PINUMON-1 5.5
$812077 ABIELAS-1 51
$812077 VALESIT-7 2
$812077 THUJPLI-1 0.5
$812077 CHIMUMB-12 5
$812077 DICRSCO-9 5
$812077 PSEUMEN-1 1
$812077 JUNICOM-3 0.5
$812077 HIERALI-7 0.5
$812077 RIBELAC-4 0.5
$812077 MENZFER-4 7
$812077 LINNBOR-12 5
$812077 CLADECM-11 35
$812077 PINUCON2-1 35
$812077 PELTLEU-11 5
$812077 LONIUTA-4 3
$812077 RHODALB-4 5
$812077 RHYTROB-9 5
$812078 ABIELAS-1 29
$812078 PELTAPH-11 0.5
$812078 PINUALB-1 3
$812078 CHIMUMB-12 2
$812078 VACCMEM-4 50
$812078 XEROTEN-7 2
$812078 VACCMYT-12 0.5
$812078 MENZFER-4 15
$812078 PINUMON-1 7.5
$812078 PINUCON2-1 26
$812078 PICEENG-1 2.5
$812078 LARIOCC-1 5
$812078 LONIUTA-4 5
$812078 CLADONI-11 8
$812078 ORTHSEC-7 0.5
$812078 POLYALI1-9 7
$812078 HIERALI-7 5
$812078 VIOLADU-7 1
$812078 ALNUVIR2-4 6
$812079 DICRFUS-9 10
$812079 ARNICOR-7 10
$812079 PELTCAN-11 0.5
$812079 VACCSCO-12 25
$812079 ORTHSEC-7 0.5
$812079 GOODOBL-7 3
$812079 LONIUTA-4 3
$812079 RHYTROB-9 40
$812079 SORBSIT-4 0.5
$812079 ABIELAS-1 54
$812079 RHODALB-4 35
$812079 PINUMON-1 1
$812079 TSUGHET-1 7
$812079 ALNUVIR2-4 1
$812079 THUJPLI-1 0.5
$812079 PINUCON2-1 16
$812079 XEROTEN-7 2
$812079 PICEENG-1 18
$812079 MENZFER-4 20
$812081 GOODOBL-7 1
$812081 VIOLORB-7 1
$812081 VACCSCO-12 1
$812081 LINNBOR-12 1
$812081 PSEUMEN-1 25
$812081 PELTAPH-11 1
$812081 CLINUNI-7 20
$812081 CORAMAC-8 1
$812081 PINUMON-1 4
$812081 ACERGLA-4 2
$812081 ADENBIC-7 1
$812081 PICEENG-1 3
$812081 TRILOVA-7 1
$812081 DRYOEXP-5 3
$812081 OPLOHOR-4 10
$812081 GYMNDRY-5 25
$812081 THUJPLI-1 8
$812081 SYMPALB-4 1
$812081 BRACHYT-9 12
$812081 STREAMP-7 1
$812081 CORNCAN-7 1
$812081 ARALNUD-7 1
$812081 CHIMUMB-12 1
$812081 MNIUM-9 17
$812081 PAXIMYR-3 1
$812081 PELTCAN-11 1
$812081 BROMVUL-6 1
$812081 AMELALN-4 1
$812081 MONEUNI-7 1
$812081 RUBUPAR-4 1
$812081 ARNICOR-7 1
$812081 VACCMEM-4 1
$812081 MAIARAC-7 1
$812081 TSUGHET-1 65
$812081 ABIELAS-1 3
$812081 MENZFER-4 1
%780453 THALOCC-7 6
%780453 ACERGLA1-4 12
%780453 THUJPLI-1 1
%780453 EURYCON-7 1
%780453 VACCMEM-4 2
%780453 RUBUPAR-4 5
%780453 GOODOBL-7 1
%780453 BARBLYC-10 0.5
%780453 LARIOCC-1 2
%780453 PINUCON2-1 13
%780453 CHIMUMB-12 0.5
%780453 ORTHSEC-7 8
%780453 PSEUMEN1-1 21.5
%780453 ABIELAS-1 14
%780453 RHYTROB-9 15
%780453 MAIARAC-7 2
%780453 ALNUVIR2-4 0.5
%780453 LONIUTA-4 2
%780453 AMELALN-4 2
%780453 VIOLORB-7 4
%780453 DICRANU-9 7
%780453 PYROASA-7 1
%780453 STREAMP-7 1
%780453 MNIUSPN-9 6
%780453 PLEUSCH-9 3
%780453 PAXIMYR-3 10
%780453 PICEENG-1 28.5
%780453 CARECOC-6 0.5
%780453 PELTCAN-11 2
%780453 PINUMON-1 2
%780453 ARNICOR-7 2
%780453 OSMOBER-7 0.5
%780453 BRACLEI-9 20
%780453 BROMVUL-6 0.5
%780453 TIARTRI2-7 1
%780453 PTILCRI-9 1
%780453 BRACHYT-9 5
%780453 CLINUNI-7 4
%796961 BARBLYC-10 0.5
%796961 LATHOCH-7 0.5
%796961 PELTAPH-11 0.5
%796961 CLINUNI-7 5
%796961 ORYZASP-6 0.5
%796961 PLAGLAE-9 0.5
%796961 LARIOCC-1 34
%796961 PTILCRI-9 0.5
%796961 OSMOBER-7 1
%796961 SYMPALB-4 0.5
%796961 JUNICOM-3 0.5
%796961 EURYCON-7 7
%796961 MENZFER-4 0.5
%796961 CORNCAN-7 3
%796961 PSEUMEN-1 2
%796961 BROMUS-6 0.5
%796961 CLADECM-11 0.5
%796961 BRACHYL-9 0.5
%796961 EQUIPRA-5 0.5
%796961 LONIUTA-4 0.5
%796961 ABIELAS-1 25
%796961 POHLNUT-9 0.5
%796961 LINNBOR-12 0.5
%796961 VACCMYT-12 2
%796961 ARNICOR-7 4
%796961 CARERIC-6 0.5
%796961 PYROCHL-7 0.5
%796961 PROSTRA-7 1
%796961 RIBELAC-4 0.5
%796961 RHYTROB-9 2
%796961 CHIMUMB-12 0.5
%796961 ARNILAT-7 0.5
%796961 PICEENE-1 42
%796961 SHEPCAN-4 0.5
%796961 THALOCC-7 1
%796961 PINUCON2-1 1
%796961 ACERGLA-4 10.5
%796961 ORTHSEC-7 0.5
%796961 GOODOBL-7 0.5
%796961 PLEUSCH-9 2
%796961 AMELALN-4 0.5
%796961 RUBUPAR-4 5
%796961 VIOLCAN-7 0.5
%796961 VACCMEM-4 0.5
%796961 CORNSTO-4 1
%796961 VIOLORB-7 1
%801752 CLINUNI-7 1
%801752 VIOLGLA-7 0.5
%801752 VERAVIR-7 0.5
%801752 VIOLORB-7 0.5
%801752 SORBSCO-4 0.5
%801752 PICEENG-1 16.5
%801752 GALITRD-7 0.5
%801752 XEROTEN-7 0.5
%801752 OSMORHI-7 0.5
%801752 RIBELAC-4 2
%801752 VACCMEM-4 5
%801752 HERAMAX-7 0.5
%801752 BRACHYT-9 0.5
%801752 PYROASA-7 0.5
%801752 TROLALB-7 0.5
%801752 LEPTPYR-7 0.5
%801752 ABIELAS-1 14
%801752 STREAMP-7 0.5
%801752 PECTBRE-7 0.5
%801752 MNIUSPN-9 0.5
%801752 GOODOBL-7 0.5
%801752 MENZFER-4 75
%801752 BROMVUL-6 0.5
%801752 THALOCC-7 0.5
%801752 STENOCC-7 0.5
%801752 ORTHSEC-7 0.5
%801752 ARNILAT-7 7
%801752 PELTRUF-11 0.5
%801752 LONIUTA-4 0.5
%801752 TIARTRI2-7 0.5
%801752 ANGEDAW-7 1
%801753 MARCPOL-10 0.5
%801753 ASTER-7 0.5
%801753 CALLCOR-9 0.5
%801753 MUHLMEX-6 2
%801753 SALIMYR-4 7
%801753 PHILCAP-9 0.5
%801753 GALIUM-7 0.5
%801753 COMAPAU-7 0.5
%801753 VIOLA-7 0.5
%801753 PLATANT-7 0.5
%801753 EQUIARV-5 0.5
%801753 MNIUM-9 2
%801753 SANIUNC-9 0.5
%801753 CAREUTR-6 75
%801753 BRYUPSE-9 1
%801753 PARNFIM-7 0.5
%801753 ALNUVIR-4 0
%801753 CALLGIG-9 1
%801754 MUHLMEX-6 3
%801754 VACCSCO-12 0.5
%801754 EPILOBI-7 0.5
%801754 VIOLGLA-7 5
%801754 ROELROE-9 7
%801754 ACTARUB-7 0.5
%801754 ARNILAT-7 2
%801754 GEUMMAC-7 0.5
%801754 ANGEDAW-7 20
%801754 TIARTRI2-7 0.5
%801754 PYROASA-7 0.5
%801754 EQUIARV-5 15
%801754 MENZFER-4 3
%801754 TARAXAC-7 0.5
%801754 STREAMP-7 1
%801754 VERAVIR-7 0.5
%801754 FRAGVIR-7 0.5
%801754 RIBELAC-4 12
%801754 VACCMEM-4 3
%801754 PLATANT-7 0.5
%801754 SENETRI-7 6
%801754 BRACHYT-9 0.5
%801754 ABIELAS-1 14
%801754 TROLALB-7 1
%801754 THALOCC-7 0.5
%801754 LONIUTA-4 2
%801754 GALITRF-7 0.5
%801754 PEDIBRA-7 0.5
%801754 XEROTEN-7 0.5
%801754 HIERALI-7 0.5
%801754 SORBSCO-4 0.5
%801754 ATHYFIL-5 0.5
%801754 LONIINV-4 5
%801754 PICEENG-1 12
%801754 HERAMAX-7 6
%801754 PECTBRE-7 1
%801754 LUZUPAR-6 0.5
%801755 POHLNUT-9 0.5
%801755 ARNILAT-7 20
%801755 ORTHSEC-7 0.5
%801755 ARTEMIS-0 0.5
%801755 XEROTEN-7 25
%801755 GENTIAE-7 0.5
%801755 CALACAN-6 0.5
%801755 ABIELAS-1 26
%801755 MNIUSPN-9 2
%801755 ATRISEL-9 2
%801755 ATHYFIL-5 0.5
%801755 VACCMEM-4 3
%801755 MONEUNI-7 0.5
%801755 BRACALB-9 0.5
%801755 VACCSCO-12 0.5
%801755 TIARTRI2-7 0.5
%801755 LONIUTA-4 7
%801755 SORBSCO-4 1.5
%801755 ALNUVIR2-4 0.5
%801755 PICEENG-1 26
%801755 CLINUNI-7 10
%801755 VIOLADU-7 2
%801755 PINUALB-1 3
%801755 MENZFER-4 30
%801755 GOODOBL-7 0.5
%801756 XEROTEN-7 2
%801756 VIOLORB-7 3
%801756 ORTHSEC-7 0.5
%801756 VACCSCO-12 3
%801756 MENZFER-4 85
%801756 PELTAPH-11 1
%801756 PICEENG-1 13
%801756 ABIELAS-1 43
%801756 GOODOBL-7 1
%801756 BRACHYT-9 1
%801756 RHYTROB-9 1
%801756 CLINUNI-7 1
%801756 VACCMEM-4 4
%801756 ARNILAT-7 15
%801756 PINUALB-1 4.5
%801756 BARBLYC-10 5
%801756 DICRSCO-9 1
%801756 HIERALI-7 0.5
%801756 DICRPAI-9 5
%801758 PINUALB-1 0.5
%801758 POLYLYA-9 2
%801758 LARILYA-1 30
%801758 POHLNUT-9 2
%801758 BARBLYC-10 13
%801758 PHYLEMP-12 0.5
%801758 ABIELAS-1 17
%801758 LUZUHIT-6 35
%801758 JUNCDRU-6 0.5
%801758 CARECOI-6 0.5
%801758 DICRSCO-9 1
%801758 VACCSCO-12 5
%801759 VALEDIO-7 2
%801759 EQUIARV-5 0.5
%801759 ACHIMIL-7 0.5
%801759 AULAPAL-9 2
%801759 CARERAY-6 0.5
%801759 GENTIAN-7 0.5
%801759 EPILANA-7 0.5
%801759 CLAYLAN-7 1
%801759 DRABSTE-7 0.5
%801759 LONIINV-4 0.5
%801759 BRACHYT-9 3
%801759 RANUUNC-7 0.5
%801759 COLLPAR-7 0.5
%801759 GEUMMAC-7 3
%801759 DESCPIN-7 0.5
%801759 FRAGVIR-7 2
%801759 RANUESC-7 0.5
%801759 CAREX-6 20
%801759 ARENARI-7 0.5
%801759 CIRSARV-7 0.5
%801760 CINNLAT-6 3
%801760 ALNUVIR2-4 0.5
%801760 LYCOANN-5 0.5
%801760 ARNICOR-7 8
%801760 TIMMAUS-9 30
%801760 STENOCC-7 0.5
%801760 ATHYFIL-5 0.5
%801760 BRACHYL-9 8
%801760 OSMOPUR-7 0.5
