"","Group","NoPlots","TotalSpp","NonrareSpp","ConstSpp","Poor"
"182","SUBASS Bl-Oplohor-Athyfil(Valesit)",22,154,50,21,"OK"
"183","SUBASS Bl-Oplohor-Gymndry(Ptilcri)",53,236,57,21,"OK"
"184","SUBASS Bl-Oplohor-Gymndry{Vaccmem)",5,90,46,25,"Poor"
"185","SUBASS Bl-Rhodalb-Gymndry(Clinuni)",21,116,39,12,"OK"
"186","SUBASS Bl-Rhodalb-Gymndry(Menzfer)",82,223,35,13,"OK"
"187","SUBASS Bl-Rhodalb-Gymndry(Rhytrob)",44,190,34,11,"OK"
"188","SUBASS Bl-Rhodalb-Gymndry(Tsughet)",32,123,42,15,"OK"
"189","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",23,131,44,11,"OK"
"190","SUBASS Bl-Rhodalb-Menzfer-Tiartri (typic wm1)",22,132,40,13,"OK"
"191","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",16,79,29,8,"OK"
"192","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",7,75,34,5,"Poor"
"193","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Pinualb)",43,126,26,11,"OK"
"194","SUBASS Bl-Rhodalb-Pleusch-Dicranu(typic)",52,140,22,8,"OK"
"195","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Dicrsco)",17,107,33,14,"OK"
"196","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Hylospl)",32,158,44,15,"OK"
"197","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Ribetri)",50,184,35,11,"OK"
"198","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(typic)",39,140,40,16,"OK"
"199","SUBASS Bl-Rhodalb-PleuschPtilcri(Pinucon)",5,67,29,20,"Poor"
"200","SUBASS Bl-Rhodalb-Rubuped-Dicranu(Menzfer)",59,121,25,8,"OK"
"201","SUBASS Bl-Vaccmem-Pleusch(Barblyc - mc zonal)",23,158,40,9,"OK"
"202","SUBASS Bl-Vaccmem-Pleusch(typic)",43,220,42,10,"OK"
"203","SUBASS Bl-Vaccmem-Pleusch(Vacccae)",8,87,39,14,"OK"
"204","SUBASS Bl-Vaccmem-Xeroten",6,65,24,5,"Poor"
"205","SUBASS Bl-Valesit-Tiarell (Erigper)",14,131,48,13,"OK"
"206","SUBASS Bl-Valesit-Tiarell (Strelan)",47,248,41,13,"OK"
"207","SUBASS Bl-Valesit-Trollax",49,238,44,13,"OK"
"208","SUBASS Bl-Valesit-Trollax (Rhodneo)",12,137,52,14,"OK"
"209","SUBASS Bl-Valesit-Veravir-Trolalb",27,202,40,11,"OK"
"210","SUBASS Bl - Rhodalb -Tiartri (Luzula wm3)",20,90,26,11,"OK"
"211","SUBASS BlBa-Rhodalb-Rubuped(Valesit)",11,86,31,11,"OK"
"212","SUBASS BlBa-Vaccmem-Pleusch(Hylospl)",7,71,37,9,"OK"
"213","SUBASS BlBa-Vaccmem-Pleusch(Pl)",7,80,48,11,"OK"
"214","SUBASS BlHm-Vaccmem(Dicrfus)",2,21,21,12,"Poor"
"215","SUBASS BlHm-Vaccmem(Menzfer)",34,138,38,9,"OK"
"216","SUBASS BlHm-Vaccmem(Pleusch)",9,95,39,10,"OK"
"217","SUBASS BlHw-Rhodalb-Tiartri(Gymndry)",35,112,32,12,"OK"
"218","SUBASS BlHw-Rhodalb-Tiartri(Menzfer)",19,111,43,16,"OK"
"219","SUBASS BlHw-Rhodalb-Tiartri(Rhytrob)",26,114,34,12,"OK"
"220","SUBASS BlPl-Vaccmem",8,46,25,5,"Poor"
"221","SUBASS BlPl-Vaccsco-Cladoni(Abielas)",24,129,30,7,"OK"
"222","SUBASS BlPl-Vaccsco-Cladoni(typic)",20,138,44,15,"OK"
"223","SUBASS BlSe-Menzfer (Pleusch)",24,136,36,12,"OK"
"224","SUBASS BlSe-Menzfer (Tiartri)",16,150,42,12,"OK"
"225","SUBASS BlSe-Menzfer (typic)",21,117,26,6,"OK"
"226","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",32,136,40,13,"OK"
"227","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",37,119,30,11,"OK"
"228","SUBASS BlSe-Rhodalb-Valesit(Vaccsco)(dc2)",43,165,35,11,"OK"
"229","SUBASS BlSe-Rhodalb-Valesit(Veravir)",11,95,38,19,"OK"
"230","SUBASS BlSe-Rhodalb-Xeroten",23,83,21,7,"OK"
"231","SUBASS BlSe-Rhodalb-Xeroten (Arnica)",32,123,26,8,"OK"
"232","SUBASS BlSe-Vaccsco-Barblyc",8,97,38,5,"Poor"
"233","SUBASS BlSe - Vaccsco (Pa)",18,149,32,7,"OK"
"234","SUBASS Cw-Paximyr-Vaccovl(Shepcan)",2,55,55,25,"Poor"
"235","SUBASS Cw-Paximyr-Vaccovl(Vaccmyl)",3,48,48,24,"Poor"
"236","SUBASS FdSx-Calarub(Petafri)",18,131,67,30,"OK"
"237","SUBASS FdSx-Calarub(Vaccmyl)",39,167,60,28,"OK"
"238","SUBASS FdSxw-Rubupar(Calarub)",2,72,72,41,"Poor"
"239","SUBASS FdSxw-Rubupar(Corycor) (SBSmh)",13,132,77,33,"OK"
"240","SUBASS FdSxw-Rubupar(Lathnev)",9,84,61,21,"OK"
"241","SUBASS FdSxw-Rubupar(Petafri)",3,101,101,55,"Poor"
"242","SUBASS FdSxw-Rubupar(Pleusch)",11,106,60,34,"OK"
"243","SUBASS FdSxw-Rubupar(Poputre)",9,108,72,40,"OK"
"244","SUBASS FdSxw-Rubupar(Proshoo)",8,79,63,34,"OK"
"245","SUBASS FdSxw-Rubupar(Strelan)",4,72,72,23,"Poor"
"246","SUBASS Pa-Cladoni-Dicrfus(Cassmer)",8,74,39,5,"Poor"
"247","SUBASS Pa-Cladoni-Dicrfus(Menzfer)",10,64,25,9,"OK"
"248","SUBASS Piceeng-Equiarv-Valesit (Vaccovl)",6,144,80,23,"OK"
"249","SUBASS Piceeng-Equivar-Valesit(Petafri)",19,165,53,7,"OK"
"250","SUBASS Piceng-Equiarv-Valesit (Leptpyr)",9,120,58,16,"OK"
"251","SUBASS Pl-Arctuva-Cladoni(Pleusch)",52,142,43,18,"OK"
"252","SUBASS Pl-Arctuva-Cladoni(typic)",55,153,33,11,"OK"
"253","SUBASS Pl-Calarub-Arctuva(Balssag)",1,24,24,24,"Poor"
"254","SUBASS Pl-Calarub-Arctuva(Junicom)",12,80,38,12,"OK"
"255","SUBASS Pl-Calarub-Arctuva(Piptpun)",1,37,37,37,"Poor"
"256","SUBASS Pl-Calarub-Pleusch(Arnicor)",38,212,66,25,"OK"
"257","SUBASS Pl-Calarub-Pleusch(Linnbor)",4,62,62,15,"Poor"
"258","SUBASS Pl-Calarub-Pleusch(Vaccmyl)",47,185,55,25,"OK"
"259","SUBASS Pl-Calarub-Vaccsco-Pleusch(Abielas) (MSxk1)",25,137,30,10,"OK"
"260","SUBASS Pl-Calarub-Vaccsco-Pleusch(Corncan)(MSxk2)",26,142,42,15,"OK"
"261","SUBASS Pl-Calarub-Vaccsco-Pleusch(Junicom)(MSxk3)",25,133,39,13,"OK"
"262","SUBASS Pl-Calarub-Vaccsco(Eurycon)",4,75,75,17,"Poor"
"263","SUBASS Pl-Calarub-Vaccsco(Pleusch)",23,107,28,12,"OK"
"264","SUBASS Pl-Calarub-Vaccsco(typic)",10,95,26,11,"OK"
"265","SUBASS Pl-Junicom-Arctuva(Linnbor)",3,65,65,17,"Poor"
"266","SUBASS Pl-Junicom-Arctuva(Vacccae)",2,49,49,16,"Poor"
"267","SUBASS Pl-Pleusch-Cladina(Amelaln)",4,45,45,18,"Poor"
"268","SUBASS Pl-Pleusch-Cladina(Pyrola)",57,188,45,14,"OK"
"269","SUBASS Pl-Pleusch-Cladina(Vaccmyl)",7,79,48,19,"OK"
"270","SUBASS Pl-Vaccmem-Cladoni(Hylospl)?",2,74,74,37,"Poor"
"271","SUBASS Pl-Vaccmem-Cladoni(typic)",21,141,42,9,"OK"
"272","SUBASS Pl-Vaccsco-Cladoni(Arctuva)",11,73,27,8,"OK"
"273","SUBASS Pl-Vaccsco-Cladoni(Empenig)",38,135,34,13,"OK"
"274","SUBASS Pl-Vaccsco-Cladoni(Junicom-typic)",14,131,59,8,"OK"
"275","SUBASS Pl-Vaccsco-Cladoni(Racomit)",5,55,17,10,"Poor"
"276","SUBASS Pl-Vaccsco-Pleusch(Abielas)",23,124,36,10,"OK"
"277","SUBASS Pl-Vaccsco-Pleusch(Empenig)",66,177,35,14,"OK"
"278","SUBASS PlBl-Cladina(Dicranu)",7,62,34,12,"OK"
"279","SUBASS PlBl-Cladina(Sterpas)",1,19,19,19,"Poor"
"280","SUBASS PlBl-Cladina(Vaccmyl)",2,49,49,12,"Poor"
"281","SUBASS PlBl-Vaccmem-Cladoni(Pinualb)",10,86,27,11,"OK"
"282","SUBASS PlBl-Vaccmem-Cladoni(typic)",8,81,38,6,"OK"
"283","SUBASS PlBl-Vaccmem-Vaccsco(typic)",75,173,20,5,"Poor"
"284","SUBASS PlSxw-Rhodneo-Vaccsco (Empenig)",7,84,38,13,"OK"
"285","SUBASS PlSxw-Rhodneo-Vaccsco (Lupiarc)",5,48,18,10,"Poor"
"286","SUBASS PlSxw-Rhodneo-Vaccsco (Pleusch)",26,111,31,12,"OK"
"287","SUBASS Sb-Vaccmem-Petafri(Pleusch)",16,134,56,14,"OK"
"288","SUBASS Sb-Vaccmem-Petafri(Spirbet)",22,153,61,21,"OK"
"289","SUBASS Sb-Vaccmem-Vaccvit(Abielas)",31,148,30,12,"OK"
"290","SUBASS Sb-Vaccmem-Vaccvit(typic)",25,119,31,13,"OK"
"291","SUBASS SeBl-Oplohor-Athyfil",23,158,43,12,"OK"
"292","SUBASS SeBl-Oplohor-Athyfil(Thujpli)",16,146,49,14,"OK"
"293","SUBASS SeBl-Rhodneo-Vaccsco (Se)",12,103,38,9,"OK"
"294","SUBASS Sw-Ribetri-Equiset(Alnuinc)",62,247,39,13,"OK"
"295","SUBASS Sw-Ribetri-Equiset(typic)",86,344,44,15,"OK"
"296","SUBASS Sw-Vaccmem-Hylospl(Spirbet)",11,107,41,17,"OK"
"297","SUBASS Sw-Vaccmem-Hylospl(typic)",17,137,40,13,"OK"
"298","SUBASS Sw-Vaccmem-Hylospl(Vaccvit)",7,70,45,18,"OK"
"299","SUBASS Sx-Betula-Oplohor(Corycor)",6,106,61,27,"OK"
"300","SUBASS Sx-Loniinv-Gymndry(Sambrac)",1,30,30,30,"Poor"
"301","SUBASS Sx-Loniinv-Gymndry(Vibuedu)",36,234,67,21,"OK"
"302","SUBASS Sx-Oplohor(Cornsto)",4,44,44,13,"Poor"
"303","SUBASS Sx-Oplohor(Pseumen)",23,148,54,19,"OK"
"304","SUBASS Sx-Oplohor(typic)",8,96,55,25,"OK"
"305","SUBASS Sx-Vaccmem-Vibuedu(Mertpan)",22,155,59,20,"OK"
"306","SUBASS Sx-Vaccmem-Vibuedu(Pseumen)",6,67,52,30,"OK"
"307","SUBASS Sx-Vaccmem-Vibuedu(Rubupar)",67,228,58,23,"OK"
"308","SUBASS Sx-Vaccmem-Vibuedu(Shepcan)",17,135,56,22,"OK"
"309","SUBASS Sx-Vaccmem(Ledugro)",4,55,55,26,"Poor"
"310","SUBASS Sx-Vaccmem(Paximyr)",26,148,47,18,"OK"
"311","SUBASS Sx-Vaccmem(Petafri)",8,70,44,28,"OK"
"312","SUBASS Sx-Vaccmem(typic)",116,242,46,13,"OK"
"313","SUBASS Sx-Vaccmem(Vacccae)",19,124,50,20,"OK"
"314","SUBASS SxFd-Sympalb-Aralnud",9,103,51,12,"OK"
"315","SUBASS Sxw-Betunan-Pleusch(Aulapal)",1,37,37,37,"Poor"
"316","SUBASS Sxw-Betunan-Pleusch(Empenig)",5,78,40,30,"Poor"
"317","SUBASS Sxw-Betunan-Pleusch(Hylospl)",13,114,59,21,"OK"
"318","SUBASS Sxw-Betunan-Pleusch(Salix)",3,79,79,37,"Poor"
"319","SUBASS Sxw-Betunan-Pleusch(typic)",7,96,60,15,"OK"
"320","SUBASS Sxw-Calacan(Piceene)",2,45,45,13,"Poor"
"321","SUBASS Sxw-Equiset-Aulapal(Caredis)",42,265,55,11,"OK"
"322","SUBASS Sxw-Equiset-Aulapal(Hylospl)",41,279,61,13,"OK"
"323","SUBASS Sxw-Equiset-Aulapal(Sphagnu)",32,237,58,15,"OK"
"324","SUBASS Sxw-Equiset(Loniinv)",39,264,59,15,"OK"
"325","SUBASS Sxw-Gymndry(Aralnud)",32,149,59,20,"OK"
"326","SUBASS Sxw-Gymndry(Arnica)",55,213,59,27,"OK"
"327","SUBASS Sxw-Gymndry(Ptilcri)",102,275,53,18,"OK"
"328","SUBASS Sxw-Oplohor-Athyfil",19,178,63,14,"OK"
